borough,room_type,Count of room_type
Bronx,Entire home/apt,348
Bronx,Hotel room,1
Bronx,Private room,558
Bronx,Shared room,30
Brooklyn,Entire home/apt,7202
Brooklyn,Hotel room,17
Brooklyn,Private room,7001
Brooklyn,Shared room,219
Manhattan,Entire home/apt,10135
Manhattan,Hotel room,270
Manhattan,Private room,5948
Manhattan,Shared room,289
Queens,Entire home/apt,1641
Queens,Hotel room,9
Queens,Private room,2841
Queens,Shared room,138
Staten Island,Entire home/apt,144
Staten Island,Private room,130
Staten Island,Shared room,2
